C1,C14,C15,C16,C17,C18,C19,C20,C21
1005,21647,320,50,2487,1,547,-1,51
1010,21665,320,50,2493,3,35,-1,117
1002,19665,320,50,2253,2,303,-1,52
1005,19251,320,50,2201,3,35,-1,43
1005,19251,320,50,2201,3,35,-1,43
1005,21647,320,50,2487,1,547,100034,51
1005,17163,320,50,1955,3,163,100193,71
1005,19251,320,50,2201,3,35,100210,43
1005,19251,320,50,2201,3,35,-1,43
1005,21652,320,50,2489,1,547,100233,51
1005,19251,320,50,2201,3,35,-1,43
1002,15708,320,50,1722,0,35,-1,79
1002,21661,320,50,2446,3,171,100228,156
1010,21665,320,50,2493,3,35,-1,117
1002,19741,300,50,2263,3,427,100000,61
1005,21647,320,50,2487,1,547,-1,51
1005,21647,320,50,2487,1,547,-1,51
1005,21664,320,50,2492,3,35,-1,43
1005,21680,320,50,2496,3,167,100183,23
1002,19665,320,50,2253,2,303,-1,52
1005,4687,320,50,423,2,39,100148,32
1010,21665,320,50,2493,3,35,-1,117
1010,21665,320,50,2493,3,35,-1,117
1002,21300,320,50,2446,3,171,100228,156
1005,21647,320,50,2487,1,547,-1,51
1005,19493,320,50,2229,0,687,100031,48
1005,18993,320,50,2161,0,35,100034,157
1002,15698,300,50,1722,0,35,-1,79
1005,20596,320,50,2161,0,35,-1,157
1005,21647,320,50,2487,1,547,-1,51
1005,21684,320,50,2496,3,167,-1,23
1005,21611,320,50,2480,3,297,100111,61
1005,17016,320,50,1873,3,39,-1,23
1002,21661,320,50,2446,3,171,100228,156
1005,21647,320,50,2487,1,547,100094,51
1005,454,320,50,122,3,1319,100205,15
1005,19251,320,50,2201,3,35,-1,43
1002,21153,320,50,2420,2,35,-1,69
1005,21647,320,50,2487,1,547,100055,51
1010,21665,320,50,2493,3,35,-1,117
1002,21664,320,50,2492,3,35,-1,43
1005,21647,320,50,2487,1,547,100241,51
1005,21611,320,50,2480,3,299,100111,61
1010,21665,320,50,2493,3,35,-1,117
1005,18987,320,50,2158,3,291,-1,61
1005,18987,320,50,2158,3,291,100192,61
1005,19775,320,50,2229,0,687,100031,48
1002,21300,320,50,2446,3,171,100228,156
1005,20984,320,50,2371,0,551,100215,46
1005,21647,320,50,2487,1,547,100108,51
1005,18993,320,50,2161,0,35,100037,157
1005,21647,320,50,2487,1,547,100037,51
1005,19251,320,50,2201,3,35,-1,43
1010,21310,320,50,2449,0,163,100105,91
1005,19251,320,50,2201,3,35,-1,43
1005,20277,320,50,2281,3,47,100182,42
1005,15704,320,50,1722,0,35,-1,79
1010,21665,320,50,2493,3,35,100050,117
1005,21611,320,50,2480,3,297,100111,61
1010,21665,320,50,2493,3,35,-1,117
1005,18993,320,50,2161,0,35,-1,157
1010,21665,320,50,2493,3,35,-1,117
1010,21665,320,50,2493,3,35,-1,117
1005,20382,320,50,1740,3,943,100060,100
1005,18987,320,50,2158,3,291,-1,61
1005,19251,320,50,2201,3,35,-1,43
1005,18993,320,50,2161,0,35,-1,157
1005,21665,320,50,2493,3,35,-1,117
1005,19251,320,50,2201,3,35,-1,43
1010,21665,320,50,2493,3,35,-1,117
1005,21647,320,50,2487,1,547,-1,51
1005,17163,320,50,1955,3,163,100191,71
1005,21664,320,50,2492,3,35,100148,43
1010,21665,320,50,2493,3,35,-1,117
1005,21665,320,50,2493,3,35,100106,117
1005,15707,320,50,1722,0,35,-1,79
1005,20003,320,50,2282,3,35,-1,117
1005,21647,320,50,2487,1,547,100034,51
1005,21647,320,50,2487,1,547,100111,51
1005,21653,320,50,2489,1,547,100111,51
1005,21647,320,50,2487,1,547,-1,51
1005,21647,320,50,2487,1,547,100148,51
1005,21611,320,50,2480,3,297,100111,61
1002,21640,320,50,2485,3,163,100000,93
1010,21665,320,50,2493,3,35,100013,117
1005,15703,320,50,1722,0,35,100083,79
1010,21310,320,50,2449,0,163,100105,91
1005,21654,320,50,2489,1,547,100034,51
1005,19251,320,50,2201,3,35,-1,43
1005,4687,320,50,423,2,39,100148,32
1005,18993,320,50,2161,0,35,-1,157
1005,18993,320,50,2161,0,35,100212,157
