DEM,GOP,MedianIncome,MigraRate,BirthRate,DeathRate,BachelorRate
5908.0,18110.0,54487.0,5.3,12.2,10.0,27.7
18409.0,72780.0,56460.0,21.5,11.2,9.8,31.3
4848.0,5431.0,32884.0,-18.2,10.6,10.8,12.2
1874.0,6733.0,43079.0,-0.8,12.1,10.8,11.5
2150.0,22808.0,47213.0,-1.0,12.2,11.2,12.6
3530.0,1139.0,34278.0,-3.1,13.8,12.5,13.3
3716.0,4891.0,35409.0,-6.1,11.5,12.6,16.1
13197.0,32803.0,41778.0,-3.7,12.0,12.7,18.0
5763.0,7803.0,39530.0,-5.4,11.5,13.1,13.2
1524.0,8809.0,41456.0,5.5,9.5,13.4,12.9
2909.0,15068.0,44188.0,2.9,12.1,10.8,14.2
3109.0,4102.0,32691.0,-11.3,11.0,13.8,13.0
5712.0,7109.0,34061.0,-14.3,11.4,11.6,12.6
1234.0,5230.0,38512.0,1.6,10.1,13.3,10.2
684.0,5738.0,43483.0,-1.3,10.7,13.8,13.7
4194.0,15825.0,48632.0,0.9,12.9,10.0,23.4
7296.0,16718.0,46572.0,1.2,11.7,12.9,18.7
3069.0,3413.0,29758.0,-11.9,11.4,13.8,10.7
1780.0,3376.0,36441.0,-4.0,8.0,14.2,11.6
2379.0,13222.0,35010.0,-3.2,12.1,13.3,14.9
1663.0,4511.0,37374.0,5.3,11.8,12.4,15.6
3730.0,32734.0,41543.0,8.0,12.2,11.8,13.7
4408.0,13798.0,40523.0,-4.5,13.3,9.7,17.0
12826.0,5784.0,30488.0,-19.6,12.6,14.1,15.1
3682.0,21779.0,37128.0,-0.9,12.1,11.2,12.7
8436.0,27619.0,54553.0,2.8,11.1,9.6,24.5
4698.0,10282.0,35096.0,-2.9,11.8,13.7,12.7
10350.0,32132.0,40972.0,0.4,11.8,13.6,17.7
1358.0,6705.0,38403.0,-5.0,10.2,13.5,12.9
2197.0,9466.0,37049.0,2.6,13.4,12.3,12.9
1522.0,9967.0,36976.0,-1.8,10.7,14.1,11.1
4006.0,838.0,26559.0,-1.6,10.9,12.2,10.1
4772.0,3172.0,35381.0,-12.8,12.8,12.4,14.1
2286.0,5623.0,41426.0,1.8,10.4,13.5,18.0
10547.0,30567.0,42910.0,-2.5,12.6,10.3,21.0
3663.0,16643.0,41407.0,0.2,10.7,14.1,14.2
151581.0,130614.0,50109.0,-2.6,13.2,10.6,32.4
1035.0,5819.0,38358.0,4.7,11.1,15.7,12.5
9877.0,27735.0,44124.0,1.8,10.1,12.1,23.9
3611.0,10732.0,43107.0,3.6,11.1,11.8,11.7
20987.0,34321.0,47749.0,8.4,12.3,6.2,34.1
9340.0,28824.0,52181.0,11.0,11.1,8.3,25.5
4882.0,1751.0,32011.0,-9.5,12.1,12.3,14.1
7237.0,1394.0,30681.0,-9.2,10.1,13.5,20.7
62435.0,89199.0,61193.0,7.8,11.8,8.8,41.7
5607.0,5224.0,34794.0,-12.3,12.6,12.7,15.4
1432.0,11273.0,36386.0,-1.7,10.2,13.7,13.1
4913.0,29217.0,42117.0,3.2,14.4,12.1,19.2
68429.0,91087.0,45233.0,-1.6,13.5,10.4,22.9
4310.0,5771.0,36639.0,-6.4,10.1,11.7,14.1
58669.0,33928.0,45111.0,-4.9,13.8,9.6,32.1
11216.0,37392.0,46843.0,-3.2,12.0,11.4,21.7
3823.0,1403.0,25221.0,-11.9,13.8,13.4,15.7
3972.0,5454.0,35968.0,-21.4,11.4,12.9,13.5
5039.0,7681.0,35172.0,-2.6,11.5,8.9,23.6
2290.0,7697.0,40283.0,-0.9,10.7,13.7,14.9
9577.0,9210.0,38617.0,-14.6,14.6,10.7,16.5
5550.0,31579.0,57856.0,7.5,12.1,10.6,16.5
22927.0,72846.0,74212.0,6.4,11.4,6.6,42.1
4739.0,1581.0,26814.0,-18.0,11.1,10.9,21.8
12108.0,20596.0,40555.0,-5.3,10.6,12.6,14.3
5271.0,12967.0,40169.0,0.9,11.4,13.2,18.3
31746.0,47701.0,47483.0,5.1,12.4,8.3,30.3
4486.0,24208.0,39511.0,-3.1,12.4,15.1,11.6
2366.0,6031.0,37575.0,-9.5,10.5,13.9,11.1
4329.0,1737.0,24216.0,-4.3,11.8,12.1,12.5
871.0,9225.0,38644.0,2.3,10.0,13.2,13.5
,,63991.0,0.3,3.5,3.0,12.7
,,78151.0,-17.6,5.9,2.8,16.4
,,83959.0,-11.0,15.3,5.7,35.3
,,46634.0,-14.1,23.9,6.2,12.3
,,68026.0,-3.3,12.2,10.0,22.3
,,72378.0,48.9,11.1,4.0,43.5
,,52250.0,-19.1,22.3,7.0,19.3
,,73427.0,-1.6,17.0,4.9,32.6
,,53471.0,4.8,7.1,7.1,37.4
,,53884.0,-5.2,8.0,6.6,23.4
,,82011.0,-11.0,11.1,6.3,39.5
,,68501.0,3.0,12.6,8.3,23.3
,,67125.0,-4.2,10.9,6.1,24.5
,,74683.0,-16.4,15.7,3.5,26.0
,,44310.0,-11.9,23.2,7.5,15.8
,,71793.0,21.1,14.9,6.0,21.2
,,55974.0,-7.1,21.9,7.3,14.6
,,74998.0,-18.0,16.5,6.5,16.6
,,53692.0,-25.9,22.6,7.4,11.7
,,60540.0,1.2,9.8,8.0,27.6
,,48888.0,-1.1,12.0,9.2,17.6
,,72795.0,-6.7,9.4,7.4,32.6
,,65112.0,32.4,11.7,3.6,33.7
,,59412.0,-1.8,14.8,6.6,19.1
,,69755.0,-7.6,13.2,6.0,30.6
,,56747.0,14.9,8.5,6.9,20.7
,,57687.0,-44.9,12.8,4.8,20.0
,,37906.0,-12.1,14.9,10.7,13.4
12196.0,5315.0,34040.0,1.0,13.9,9.4,11.7
15291.0,25036.0,45151.0,-7.4,12.3,10.6,23.0
25308.0,16573.0,53643.0,5.2,11.5,6.0,35.6
6746.0,13672.0,40747.0,12.0,11.1,15.6,18.5
3301.0,8025.0,46714.0,-8.9,15.0,7.6,15.3
1092.0,1892.0,61110.0,-0.7,16.0,7.4,11.9
1318.0,3381.0,34285.0,11.5,10.3,13.0,12.4
549040.0,590465.0,58742.0,14.1,12.9,7.2,32.0
16485.0,54656.0,42003.0,10.5,8.9,15.2,12.9
15362.0,18165.0,37440.0,2.7,14.0,8.9,15.8
195649.0,147019.0,47644.0,5.9,11.3,9.4,31.9
35737.0,53857.0,52642.0,23.7,10.9,7.2,19.0
10684.0,3650.0,39090.0,-9.9,13.6,6.6,21.0
29705.0,58862.0,49824.0,21.5,8.4,13.2,25.2
18336.0,20586.0,42998.0,2.7,14.6,7.3,14.8
1939.0,3825.0,39726.0,-10.4,13.5,12.9,15.5
2408.0,5338.0,41277.0,-14.5,11.5,12.3,13.2
