number,sys_updated_at,reassigned,problem_id,contact_type,u_symptom,assignment_group,location,resolved_by,subcategory,u_priority_confirmation,closed_code,opened_by,active,incident_state,urgency,category,rfc,priority,assigned_to,vendor,caused_by,knowledge,reassignment_count,cmdb_ci,impact,D_sys_mod_count,D_reopen_count
INC0000045,2016-05-03 12:00:00,0,1,254,259,784,862,1086,1302,1556,1558,1575,1783,1786,1793,1796,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000047,2016-06-03 10:00:00,1,1,254,260,786,863,1087,1303,1556,1558,1576,1783,1786,1793,1797,1,2035,2039,1,1,2280,2283,1,2360,2366,2368
INC0000057,2016-06-03 03:00:00,0,2,254,260,785,864,1088,1304,1556,1559,1575,1783,1786,1793,1798,1,2035,2041,1,1,2280,2282,1,2360,2366,2368
INC0000060,2016-07-03 13:00:00,0,1,254,261,787,864,1089,1305,1556,1560,1577,1783,1786,1793,1799,1,2035,2042,1,1,2280,2282,1,2360,2365,2368
INC0000062,2016-05-03 16:00:00,1,1,254,262,788,865,1090,1306,1556,1561,1577,1783,1786,1793,1800,1,2036,1,1,1,2280,2283,1,2361,2366,2368
INC0000063,2016-05-03 17:00:00,1,1,254,260,788,865,1090,1304,1556,1561,1577,1783,1786,1793,1798,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000064,2016-08-03 17:00:00,1,1,254,263,789,862,1091,1306,1556,1562,1578,1783,1786,1793,1800,1,2035,2043,1,1,2280,2283,1,2360,2366,2368
INC0000065,2016-07-03 16:00:00,1,1,254,264,793,866,1092,1308,1556,1563,1578,1783,1786,1793,1802,1,2035,2045,1,1,2280,2288,1,2360,2367,2368
INC0000066,2016-07-03 15:00:00,1,1,254,1,794,867,1093,1309,1556,1558,1579,1783,1786,1793,1796,1,2035,1,1,1,2280,2283,1,2360,2365,2368
INC0000067,2016-07-03 12:00:00,1,1,254,265,789,862,1094,1310,1556,1563,1577,1783,1786,1793,1799,1,2035,2046,1,1,2280,2283,1,2360,2367,2368
INC0000070,2016-08-03 09:55:00,1,1,254,266,795,868,1095,1311,1556,1564,1578,1782,1785,1793,1799,1,2035,2040,1,1,2280,2283,1,2360,2366,2368
INC0000071,2016-06-03 11:00:00,0,1,254,265,786,867,1096,1311,1556,1558,1577,1783,1786,1793,1799,1,2035,2048,1,1,2280,2282,1,2360,2366,2368
INC0000073,2016-06-03 16:00:00,1,2,254,265,794,869,1093,1312,1556,1564,1580,1783,1786,1793,1800,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000074,2016-11-04 14:39:00,0,1,254,1,796,864,1097,1313,1557,1562,1581,1782,1785,1793,1802,1854,2035,2049,1,1,2280,2282,1,2360,2367,2368
INC0000076,2016-05-03 17:00:00,0,1,254,265,788,865,1090,1314,1556,1558,1577,1783,1786,1793,1803,1,2035,1,1,1,2280,2282,1,2360,2364,2368
INC0000077,2016-05-03 10:00:00,0,1,254,265,785,866,1098,1315,1556,1562,1577,1783,1786,1793,1804,1,2035,1,1,1,2280,2282,1,2360,2366,2368
INC0000079,2016-05-03 12:00:00,1,1,254,265,797,864,1099,1302,1556,1562,1577,1783,1786,1793,1796,1,2035,2050,1,1,2280,2283,1,2360,2365,2368
INC0000080,2016-07-03 12:00:00,0,1,254,268,785,870,1100,1315,1556,1562,1579,1783,1786,1793,1804,1,2035,1,1,1,2280,2282,1,2360,2366,2368
INC0000083,2016-05-03 17:00:00,1,2,254,269,788,865,1090,1311,1556,1561,1578,1783,1786,1794,1806,1,2037,1,1,1,2280,2283,1,2362,2365,2368
INC0000084,2016-12-04 14:46:00,0,1,254,270,796,864,1097,1313,1557,1562,1581,1782,1785,1794,1802,1855,2037,2051,1,1,2280,2282,1,2362,2367,2368
